,Unnamed: 0,기사요약
744,744,내부편의사항 개선-교통약자 불편도 해소]이에 따라 내년에 새로 나오는 시내버스는 물론 기존 시내버스 7530대 중 지난 2007년 이후 도입된 5000여대도 시속 80㎞를 초과해 달리지 못하게 된다현재 6~9개인 차내 안전봉도 키가 작아 손잡이를 잡을 수 없는 어린이나 청소년의 안전사고를 예방할 수 있도록 최대 수량인 9개로 통일해 설치키로 했다아울러 교통약자 불편 해소에도 주력키로 했다
745,745,"반면 시내버스 이용 불편 민원은 595건으로 2012년(633건)보다 6울산시는 이 처럼 울산지역 시내버스가 지속적으로 크게 활성화되고 있는 것은 매년 '시내버스 종합대책'을 수립, 강력 추진한 결과로 분석하고 있다울산시는 지난해 시민의 시내버스 요금지불의 편리성을 제고하기 위해 종전에는 충전해야 하는 모바일 선불교통카드만 이용할 수 있었으나, 세계 최초로 근접통신 기술을 활용한 모바일 후불교통카드를 도입함으로써 버스요금 결제수단을 다양화했다"
746,746,"울산시는 시민들에게 안전하고 편리한 대중교통수단을 제공하기 위해 요금지불 수단의 다양화, 이용자 중심의 노선개편, 시내버스 고급화, 운수종사자 안전 및 친절교육, 택시이용안전 종합대책 등을 내용으로 하는 ‘2013년 대중교통 종합대책’을 적극 추진했다시는 이처럼 울산지역 시내버스가 지속적으로 크게 활성화되고 있는 것은 매년 ‘시내버스 종합대책’을 수립, 강력 추진한 결과로 분석하고 있다시는 2013년 시민의 시내버스 요금지불의 편리성을 제고하고자 종전에는 충전해야 하는 모바일 선불교통카드만 이용할 수 있었으나 세계 최초로 근접통신 기술을 활용한 모바일 후불교통카드를 도입함으로써 버스요금 결제수단을 다양화했다부산 노포동을 운행하는 노선에 정류소를 46% 폐지해 운행시간을 단축시킨 리무진급 직행좌석(32대)을 도입, 장거리 이용 시민들이 좀 더 편안하게 버스를 이용할 수 있도록 했다"
747,747,[머니투데이 전주(전북)=김민정 기자][19일 교통약자 이동편의증진계획 수립용역 최종 보고회 열어]전주시는 19일 오전 시청 회의실에서 송기항 건설교통국장 주재로 관련 실무자 및 장애인단체 등이 참석한 가운데 교통약자 이동편의증진계획 수립용역 최종보고회를 가졌다
748,748,"화제의 '우영우' 리뷰 투고자일본 여성 자폐인 스즈키 나츠코씨 인터뷰""왜 남을 불편하게 하며 시위하냐""약자의 권리 행사 비난하는 사람들장애인과 비장애인이 '평화롭게' 살려면부당한 차별 감내하며 살라는 건가요일본도 장애인 이동권·권리예산 보장 갈 길 멀어소수자가 겪는 불편, 나와 무관하다 믿기도약자 권리 보장은 사회 전체를 위한 일일본에 사는 자폐 스펙트럼 장애 여성 스즈키 나츠코 씨의 기고에 대한 (여성신문 7월 23일자 일본 여성 자폐인 ""'우영우', 살아도 된다는 용기 준 작품"") 독자 반응이 뜨거웠습니다(https://nⓒ본인 제공- 나츠코 님의 지난 글을 읽고 '잘 몰랐던 자폐 스펙트럼 장애에 대해 조금 더 이해하고 관심을 갖게 됐다', '국적은 다르지만 생생한 여성 자폐인의 삶과 생각 이야기를 들을 수 있어서 뜻깊다' 등 한국 독자들의 반응이 뜨거웠습니다한국에 ""불편러"" 같은 말이 있는 것처럼 일본에도 약한 사람들이 목소리를 내는 것을 싫어하고 외면하는 분위기가 존재합니다많은 사람들이 자기 살기에 바빠서 남의 불편한 이야기를 들을 여유도 없고, 소수자들이 겪는 불편을 개선해도 자신은 얻는 게 없다고 생각하는 듯합니다7월 6일 방영된 드라마 '이상한 변호사 우영우' 3회는 자폐 스펙트럼 장애 피고인의 진술을 듣기 위해 노래까지 부르며 애쓰는 변호사들의 노력을 그린다ⓒ뉴시스·여성신문- 한국 장애인 단체들이 대중교통을 이용할 권리, 장애인 권리예산 확대 요구 시위를 이어가고 있습니다지하철 지연 등이 일어났고 장애인 혐오 여론도 커졌습니다단체들은 ""사람들은 '우영우' 드라마를 보고 '장애인도 함께 살아야지'라고 하지만, 현실의 장애인 시위대에게는 욕을 한다""고 꼬집었습니다""일본에서도 1977년 '가와사키 버스투쟁'이라는 대규모 장애인 이동권 시위가 있었습니다제가 알기론 요즘 일본에서는 그런 큰 시위가 없지만, 장애인 이동권이 보장된 것은 아닙니다장애인이 떨어져서 사망한 적도 있습니다내릴 때 장애인 등록증을 제시했는데 갑자기 택시 기사가 귀찮은 표정으로 화를 내더라고요아마도 ""내가 장애인 따위를 위해 왜 귀찮은 일을 해야 하냐""고 하고 싶었던 걸까요장애인과 비장애인이 '평화롭게' 살려면 조용히, 눈에 띄지 않게, 불편을 안 끼치면서, 부당한 일도 감당해야 하니까요올해 장애인 거주시설 예산은 6224억원, 탈시설 예산은 24억원이다그러나 장애인 단체들은 장애인의 사람답게 살 권리를 보장하기엔 역부족이며, 코로나19 속 장애 인권 피해가 심각한 현실도 반영하지 못하고 있다고 지적했다ⓒNHK 웹사이트 캡처- 일본에서도 발달장애인이 주인공으로 등장하는 TV 드라마가 최근 방영된 적 있나요?최근 '나의 사랑하는 아내!'(僕の大好きな妻！, 발달장애인 아내와 비장애인 남편이 함께 사는 모습을 따뜻하게 그린 도카이 TV·후지 TV 계열 드라마로 지난 7월 말 종영 - 편집자주)라는 드라마가 공중파 방영됐습니다2018년 드라마 '투명한 요람'(透明なゆりかご)이 NHK에서 방영됐습니다"
749,749,"17일 오후 국회의원회관 제2세미나실에서 오병권 경기도 행정1부지사와 권성동 국민의힘 원내대표, 유정복 인천광역시장 등 관계자들이 참석한 가운데 국민의 힘-경기·인천 예산정책협의회가 열리고 있다오병권 경기도 행정1부지사는 17일 국회에서 열린 '국민의힘-경기·인천 예산정책협의회'에 참석해 ""국제 원자재 가격 급등으로 경영 부담을 호소하는 중소 납품업체의 목소리에 귀기울여야 한다""며 이같이 말했다이날 협의회는 국민의힘 권성동 원내대표, 송언석 원내수석, 유의동 경기도당위원장, 성일종 정책위원회 의장 등이 참석한 가운데 경기도와 인천광역시 합동으로 1시간 20분가량 진행됐다"
750,750,이 서명의 핵심 요구는 광주지역 시내버스 960대의 바닥을 현행 78㎝에서 30㎝로낮춰 휠체어나 유모차가 불편없이 오르내리게 하자는 것이다실천단은 또 “지하도나 육교로만 건널 수 있는 금남로3가 네거리와 염주체육관네거리 등지에 장애인 횡단시설을 설치해야한다”며 “장애인의 자유로운 이동을가로막는 반인도적 반문화적 실태를 지속적으로 고발하겠다”고 덧붙였다
751,751,"[오마이뉴스 이준혁 기자]5년 이상 준비해 온 '인천광역시 대중교통체계 개편'이 지난 1월 30일부터 오는 7월까지 진행된다지난 금요일(30일)부터 반 년여에 걸쳐 순차적으로 이뤄질 인천광역시의 대중교통체계 개편은, 비록 인천광역시 내에 한정되어 이뤄지는 개편이지만, 인천 시민들에게는 지난 2004년 7월에 단행된 서울특별시(수도권도시철도 포함)의 대중교통체계 개편에 맞먹는 (1981년에 이뤄진 인천의 '직할시 승격' 이후 최대 규모의) 매우 큰 개편안이다하지만 지난 2004년 7월 1일에 전격 단행된 서울특별시 대중교통체계 개편과 달리 예측하지 못했던 많은 '엽기적인' 상황이 발생하고 있어, 시민들의 의견을 들으며 종합적으로 정리하는 마지막 기사를 완성하지 못 하고 있는 상황이다하지만 본 편은, 이번 인천광역시 대중교통체계 개편과 관련해, 많은 메시지를 함축하고 있다대도시 시내버스 노선의 신설·개편·폐선 등과 관련해 국내에 '전무후무한' 경우인 이번 3번(분할 이후의 3번, 3-1번 포괄)의 노선 변화를 살피며, 다수 시민들의 생활 에 영향을 미치는 대중교통체계의 개편이 얼마나 철저한 준비 과정을 거쳐 치밀하게 준비되어야 하는지를, 다시 한 번 살펴보도록 하자▲ 개편 이전의 3번 노선의 차량 개편 이전의 인천광역시 버스노선 '3번'은 인천의 대표적 '굴곡노선'이었다인천지하철 1호선 동막역 인근 '동춘공영차고지'를 출발해 동춘동, 남동공단, 인천터미널, 인천고, 구 법원 고가 입구, 석바위, 주안역, 제일시장, 학익4거리, 인하대 정문, 용현4거리, 구 터미널(시외버스정류소), 토지금고, 인하대병원, 신포동, 동인천, 배다리, 재능대, 인천교, 가좌동, 5·6공단 등을 거쳐 3번 버스의 차고지가 있는 십정동에 닿는 옛 3번하지만 과거의 3번 버스노선은, 비록 '영업 흑자'는 나지 않을지라도, 이용객에게는 매우 유용한 노선이었다▲ 3-1번 노선안내도 상당수의 타 버스회사가 '준비 없이' 1차 노선개편을 맞은 데 비해, 인강여객은 개편 첫 날부터 인강여객은 3번과 3-1번의 노선안내도를 만들어 각각의 노선을 운행하는 버스의 차내에 부착해 놓았다결국 이 노선은, 엄청난 민원에 시달리게 되었고, 인천광역시는 결국 6일간 다섯 번 노선변경을 행한다: 3번(동춘공영차고지~동춘동~남동공단~인천터미널~인천고~구법원고가입구~주안역(南)~역광장회차) 및 3-1번(용현5동한국아파트~인하대병원~신포동~동인천~재능대~인천교~가좌4~십정동) 분할: 3-1번의 순환노선화(인하대병원~용현4~용일4~신기4~인천고~구법원고가입구~주안역~5·6공단~십정동~재능대~동인천~신포동~인하대병원): 3번 노선의 5·6공단 경유(동춘공영차고지~동춘동~남동공단~인천터미널~인천고~구법원고가입구~주안역(北)~5·6공단~홈플러스간석점~구법원고가입구~루프형회차, 주안역(南) 미경유): 3-1번의 환원(용현5동한국아파트~인하대병원~신포동~동인천~재능대~인천교~가좌4~십정동): 3-1번의 재 순환노선화(십정동~가좌4~인천교~재능대~동인천~신포동~인하대병원~용현4~인하대정문~학익동~제일시장~주안역(南)~구법원고가입구~주안역(北)~5·6공단~십정동)하지만 이번 1차버스 개편을 통해, 세 노선이 특별한 대체노선이 마련되지 않은 채 모두 사라지면서, 많은 근로자들이 지난 1주일간의 통근에 큰 혼란을 겪는다더군다나 3번마저 없을 경우 인하대~학익동~주안역 구간은, 한 방향으로만 운행중인(주 : 그나마 이번 개편을 통해 없어질 뻔한 노선임) 41번을 제외하면, 특정 버스회사의 독점체제가 형성된다2월 4일에 인하대병원 앞 버스정류장에서 만난 한 정아무개씨는, 용현5동으로 가기 위해 3-1번을 타려고 했다가, 노선이 더 이상 운행하지 않는 것을 알고 분통을 터뜨렸다박씨는 ""1월 30일에는 기존에 다니던 28번이 없어졌는데, 2월 1일부터 3-1번 노선이 생겼다고 들었고, 2월 2일에 결국 3-1번을 타고 갔다""라고 밝혔다(하지만 건너편에는, 가좌동 차고지에서 출발해 가좌동, 가정초교, 6공단, 주안역(北), 구법원고가입구, 인천고, 신기사거리, 용일사거리, 용현사거리 등을 거쳐 숭의초교 입구에서 회차하는 형태로 2월 3일 첫 차부터 운행중이던, '재변경 노선'인 28-1번이 보였다심지어, 해당 노선을 운행하는 운행승무원(운전기사) 또한, 상당히 혼란스럽워하기는 마찬가지였다서울특별시는, 서울특별시의 시내버스 대중교통망에, 엄청난 스케일의 '실험'을 단행하였다하지만, 그런 서울특별시의 대중교통체계 개편은, 현 시점에서는 '성공'으로 비춰지고 있다이번 개편을 맞아, 8번 노선의 '유이한 굴곡구간' 인 송도신도시와 옥련동 구간을, 직선화해 운행(송도신도시 구간 직선화, 옥련동 내부 주거지역 및 송도역 미경유)했다하지만, 엄청난 민원으로 인해, 8번 노선은 1주일만에 다시 굴곡구간을 가진 노선으로 환원되었다하지만 서울특별시는, '고칠 것은 고치되 급하게 고치지 않고, 기다려야 한다고 생각한 사안은 좀 더 기다려 보는' 뚝심(?)을 통해, 대한민국은 물론 세계적으로도 상당히 주목받던 엄청난 변혁의 개편안의 안정화를 추구했다하지만 이로 인해, 옥련동 지역의 엄청난 민원을 맞았고, 결국 1주일도 못 가 다시 환원한다"
752,752,"[쿠키 사회] 전북 전주시가 시내버스 회사들에 올해 120억원의 보조금을 준데 이어 42억원을 추가로 지급키로 해 논란이 일고 있다4일 전주시에 따르면 5개 시내버스 회사의 추가 지원을 위해 42억원을 편성키로 하고 심의에 들어갔다시는 국비와 도비를 합쳐 2011년 105억원, 지난해 120억원에 이어 올해도 120억원을 이들 회사에 지원했다전북진보연대와 전주시민회 등 20여개 시민사회단체는 이날 “회사들의 부실경영으로 인해 발생한 적자를 시민들의 혈세로 보전해주려는 전주시의 시도를 규탄한다”고 천명했다"
753,753,시는 이번 시내버스 노선개편으로 인하여 시내버스를 이용하는 시민들의 혼란을 최소화하고자 익산시청 홈페이지를 통하여 변경된 시간표를 게시한다시 관계자는 “한정된 시내버스로 시민의 모든 교통수요에 대응하기는 부족하겠지만 합리적 노선조정으로 시민의 불편을 최소화하고자 한다”며 이번 노선개편과 관련하여 홈페이지를 통해 변경된 노선과 시간표를 확인하는 등 버스를 이용하는 시민들의 많은 협조를 당부했다
754,754,"이 사업은 전체 사업비 43억원중 40％를 국비로 지원받아 대구시는 정류소 버스정보안내기 105개소, 시내버스 전면 LED행선판 420대를 설치했다칠곡군은 버스정보센터를 새롭게 구축하고 정류소 버스정보안내기 16개소, LED행선판 17대, 정류소표지판을 41개소에 설치하는 등 시내버스 이용 환경을 개선했다"
755,755,"이를 위해 43억원을 들여 정류소 105곳에 버스정보 안내기를 설치하고 시내버스에 전면 LED행선지 안내판 420대를 달았다여희광 대구시 행정부시장은 ""올해 버스정보 안내기를 50곳에 추가 설치하고 모든 시내버스에 전면 LED행선판을 다는 등 2005년부터 8차에 걸쳐 추진한 버스운행 관리시스템 구축을 완료하겠다""고 밝혔다"
756,756,휠체어를 타면 그 다음에는 어떡하지         한편으로는 하반신 마비니까 휠체어를 탈 수 있겠다고 생각했다인터넷 쇼핑으로 휠체어를 검색했다수동은 팔이 아파 힘드니까 전동을 찾아봤지만 임대 가격이 만만치 않았다몸과 마음이 어느 때보다 무거웠다그래도 가족의 도움으로 버스정류장까지 도착한다면 장애인 저상버스를 탈 수 있을 것이다그런데 버스에서 휠체어를 탄 장애인을 만난 적이 한 번도 없다거기에 눈이나 비까지 내리면 어쩌나 생각하니 머리가 지끈거렸다자세히 보니 튀어나온 블록 때문에 노면이 고르지 않아 바퀴가 덜커덩거릴 것 같다이러면 바퀴가 걸린다아마도 그곳에 불이 켜져 있다면 사람들은 내가 사용 중인 걸 다 알아챌 것이다혹시라도 나이 들고 쇠약해진 부모에게 나를 부양할 것을 부탁해야 하나 생각하니 마음이 편치 않다살아가려면 예전처럼 혼자서 모든 일을 해결할 수 없다는 사실부터 받아들여야 하는데 말처럼 쉽지 않다일상생활을 비롯해 거리 위의 불편함과 사람들의 시선에 적응하는 일에 익숙해져야 한다장애인을 수용하지 못하는 사회나는 요즘 아침에 눈을 뜨면서 발가락부터 꼼지락거린다나는 장애인이 되는 것보다 장애인을 수용하지 못하는 사회에서 살아가는 삶이 두렵다그리하여 장애를 얻은 누구라도 좌절하지 않고 그 앞에 새로운 삶을 시작하는 문이 열리기를 소망한다
757,757,시(市)는 신규 아파트 단지 외에 동두천신터미널과 연계된 순환버스 노선을 선설해 시민들이 터미널을 이용하는데 불편이 없도록 할 방침이다
758,758,또한 시는 내년부터 도입되는 전 차량의 뒷바퀴에 신품타이어를 장착해 재생타이어 파열사고를 근원적으로 차단하고 6~9개 설치된 차내 안전봉을 최대 수량인 9개로 통일해 안전사고를 예방한다또한 저상버스에 휠체어를 이용하는 장애인이 탑승 시 뒷면 유리창에 설치된 안내판에 장애인 탑승 중을 알리는 장치를 설치해 뒷 차량 운전자와 승객들이 배려할 수 있도록 한다기존 차량에 대해서는 도입가격에 따른 손익분기점을 고려해 교체를 시행할 예정이다
759,759,"[아시아경제 박혜정 기자]국민 4명 가운데 1명은 일상생활 중 이동에 불편을 느끼는 '교통약자'인 것으로 나타났다11일 국토교통부가 10개 시·도를 대상으로 실시한 2013년 교통약자 이동편의 실태조사 결과에 따르면 2012년 말 기준 우리나라의 교통약자 인구는 1263만명이었다이어 어린이(235만명), 장애인(150만명) 등의 순이었다교통수단·여객시설·도로(보행환경)를 대상으로 한 이동편의시설 기준 적합 설치율은 64박혜정 기자 parky@asiae"
760,760,"오늘도 대림대 김필수 교수 나오셨습니다◀ 김필수 대림대 교수 ▶안녕하세요◀ 앵커 ▶조금 전에도 잠깐 보셨지만, 이 영상이 많은 관심을 받은 건 여기 나오시는 택시 기사분들은 아주 적극적으로 몸이 불편하신 분 탑승을 돕고 있기 때문인데,보통은 교통약자들이 대중교통 이용하기 아직 쉽지 않아요?◀ 김필수 대림대 교수 ▶한국이 세계 5대 자동차 강국이긴 하지만, 이런 특수차량이나 관련 인프라는 아직 부족한 수준입니다◀ 앵커 ▶마냥 여유를 부릴수도 없는게 우리나라 고령화 속도나 또 장애인 수는 최근 빠르게 늘고 있는 거 같은데요◀ 김필수 대림대 교수 ▶그렇죠◀ 앵커 ▶여전히 교통약자들이 이동수단 부족이 가장 큰 불만인거죠?◀ 김필수 대림대 교수 ▶얼마전에 보건복지부가 눈여겨 볼 만한 조사결과를 내놨는데요◀ 앵커 ▶저희가 그래서 장애인들의 대중교통 이용에서 겪는 어려움을 동행 취재를 통해 살펴봤는데요,영상으로 보시죠◀ 앵커 ▶교통약자를 위한 자동차 개조, 어떻게 하는 거고, 또 어떤 점이 다른지 함께 살펴봤는데요,이것도 영상으로 보시죠기자: 네 가겠습니다~기자: 이 차는 소형 경찬데, 이 차도 장애인용 차량으로 개조가 가능한가요?교수: 기존 것 보다 반 값으로 가능하니까 쉽게 이용할 수 있습니다원래거보다 무게가 4분에 1이니까 여성분들도 쉽게 내리고 올릴 수 있습니다◀ 앵커 ▶이런 복지차량 개조 비용도 만만치 않던데, 개인이 정부 보조금을 받으려면 조건이 있더라구요?◀ 김필수 대림대 교수 ▶정부는 2014년부터 1인당 1천500만원의 보조금을 지급하고 있는데,조건이 있습니다◀ 앵커 ▶대중교통이나 개인이 직접 이동수단을 마련하는 방법 말고도공공의 영역에서 교통약자들에게 이동권을 보장할 수 있는 방법도 고민중인게 있죠?◀ 김필수 대림대 교수 ▶요즘 모빌리티 구독서비스 시대라고 하는데, 획기적으로 발상의 전환을 좀 해보면 어떨까해요타다와 쏘카 같은 모빌리티 사업자에게 교통약자용 개조차량을 의무적으로 할당하는 것도 생각해 볼 수 있습니다"
761,761,"[한겨레] 대구대가 전국대학 최초로 장애학생을 위한 초저상버스(사진)를 구입해 운행한다대구대는 전동 휠체어 4대를 동시에 실을 수 있는 28인승 초저상버스(시가 2억여원) 한 대를 구입해, 오는 3월 신학기부터 운행하기로 했다&gt;&gt; ⓒ 한겨레(http://www"
762,762,[쿠키 경제] 장애인 고령자 임신부 등 교통 약자 10명 가운데 7명이 대중교통 이용에 큰 불편을 느끼고 있는 것으로 조사됐다반면 어려움을 거의 느끼지 않는다는 비율은 30%에 불과했다4%에 크게 못미쳤고 저상버스를 제외하고는 휠체어 승강 설비도 갖추지 않은 것으로 조사됐다또 일부 철도역은 장애인 전용 소변기의 형태 및 구조가 기준에 적합하지 않고 시각장애인을 위한 점자블록이 설치돼 있지 않은 것으로 나타났다
763,763,"(서울=연합뉴스) 이정현 기자 = 앞으로는 서울 시내에서는 스마트폰으로 시내버스, 지하철, 마을버스의 도착 정보를 한눈에 보고 내릴 정류소가 다가오면 미리 알림 서비스를 받을 수 있다그동안은 시내버스, 지하철 앱을 따로 이용해야 했고 지하철은 스케줄만 제공됐을 뿐 실시간 위치는 알 수 없어 열차가 지연되면 시민이 불편을 겪었다고 시는 설명했다'내 주변정류소' 기능을 이용하면 현재 위치에서 반경 500ｍ 내에 있는 대중교통 중 가장 빠르게 이동할 수 있는 교통수단과 방법을 확인할 수도 있다"
764,764,"[한겨레] 1365명 설문…만족도 ‘지하철&gt;택시&gt;버스’ 서울시내 중·경증 장애인의 10명 가운데 6명은 버스를 혼자서는 탈 수 없다고 답했다5%는 버스를 ‘도움 없이는 자유롭게 이용할 수 없다’고 답했다장애인들은 가장 큰 불편 사항으로 승하차의 어려움(266%)을, 지체장애인들은 승하차 어려움(423%)을 가장 큰 어려움으로 지적했다장애인들은 교통수단 유형별 만족도에 대해서는 지하철(49점), 택시(39"
765,765,"시 관계자는 ""신규 사업자 공모에서 재정력이 우수하고 시내버스 운영에 혁신을 가져올 수 있는 업체가 참여할 수 있도록 할 것""이라며 ""시의 재정 지원만이 아닌 자체 경영개선 등의 자구노력 방안 등이 우수한 업체를 선정해 시민불편을 해소할 계획""이라고 밝혔다시민버스는 상여금과 임금, 퇴직금 등 모두 50여억원의 임금을 체불한 상태에서 부도나면서 노조가 3월17일부터 체불임금 해결을 요구하며 51대의 시내버스 운행을 거부했고, 옛 마산시는 6월18일자로 시민버스에 대한 면허를 취소했다"
766,766,"[오마이뉴스 이준혁 기자]버스전용차로(중앙·가로변)를 영업용 택시도 다닐 수 있게 해야 한다는 오래된 논란이 최근 급격하게 수면 위로 떠오르고 있다택시업계의 주장은 ""택시의 수송분담률이 버스와 맞먹을 정도로 높아진 만큼 버스전용차로에 택시 진입을 적극적으로 허용해야 한다""라는 것이다반면 버스업계의 주장은 ""택시가 버스전용차로에 진입하면 사고 위험이 커지고 전용차로가 무용지물로 변할 것이며, 이로서 전용차로를 만든 근본 취지 자체가 훼손된다""라는 것이다하지만, 택시를 탈 경우 평소보다 일찍 나가야 하고, 버스를 탈 경우에는 갈아타더라도 조금 더 늦게 나가도 된다종종 택시를 타고 이동하지만 현재 중앙버스전용차로가 있는 곳에서의 택시의 장점은 '편하다'라는 것 외에는 없다1996년에 의주로에서 택시의 버스전용차로 진입을 시범적으로 허용 후 단 1주일 만에 중단한 것도 이 때문이다오히려 택시 수를 적정 수준으로 줄인 후에 택시의 버스전용차로 진입을 고려할 수 있다""라고 첨언했다다음철도동호회 권오현 대표도 택시의 중앙버스전용차로 진입에 반대 의견을 밝혔다심지어 모든 버스가 아닌 주요 간선노선만 진입을 허용하는 곳이 다수이다""라고 말했다▲ 강남대로 중앙버스전용차로 내 버스정류장 현재 서울특별시 내에서 운영되고 있는 중앙버스전용차로는, 경인로 및 마포로(16이어 ""택시의 버스전용차로 진입은 정책적·기술적 측면을 동시 고려해야 한다하지만, 우리나라에서는 택시의 양이 많고, 심야대중교통망이 부족하며, 지하철과 버스의 불편한 점이 많아 택시이용률이 높다따라서, 택시가 자가용과 버스의 중간 정도의 위치다 보니, 택시의 버스전용차로 주행허용은 어느정도 정치적 판단이 필요하다고 할 수 있다""고 밝혔다하지만 기술 측면의 접근에서는 ""버스와 택시는 주행방식이 매우 다르다따라서 버스와 상이한 성격의 택시가 버스전용차로에 진입할 경우 버스주행을 방해하게 된다버스전용차로 주 설치이유가 '버스의 주행 안정화'에 있는데, 택시 진입은 예산투입의 효용을 없애는 것이다""라고 지적했다더불어 ""택시의 버스전용차로 진입 후 효과도 생각해야 한다출퇴근 시간 및 상습 정체구간을 피한 조건부 허용의 경우 일정 기준하에 제한적 진입 검토가 가능할 것이다""라는 의견을 밝혔다권 대표는 ""대중교통전용차선은 기존 가로변버스전용차로의 변형안으로, 버스소통에 큰 지장이 없는 시간제 가로변 버스전용차로를 '대중교통전용차선'으로 개명해 택시도 공유하는 방식과, 영동대로 등 가로변버스전용차로가 운영되면서 차선 수가 매우 많은 대로의 편도 2차로를 '대중교통전용차선'으로 설정(1차로는 정차·추월 전용, 2차로는 주행 전용, 형태로 운영)해 버스와 택시가 함께 이용하도록 하는 것으로 나눌 수 있다""라고 설명했다"
767,767,(서울=연합뉴스) 윤종석 기자 = 침체일로를 걷던 대도시 시내버스가 버스  준공영제와 저상버스 도입 등 편의 제고 정책에 힘입어 작년들어 이용객이 큰폭으로  증가하는 등 두드러진 회복세를 보이고 있는 것으로 나타났다전국 시내버스 이용객은 1995년 56억8천800만명에서 2004년 44억5천100만명까지 줄었지만 작년에는 45억3천700만명을 기록해 상승세로 돌아섰다서울시의 경우 2004년 시내버스 이용객이 14억5천700만명이었지만 작년에는  16억3천100만명으로 1128％ 증가하는 등 시내버스 선호도가 점차 회복되고 있는 것으로 나타났다
768,768,"‘특별한’ 인권활동가 이 구 원 씨인권은 모든 인간의 보편적 권리 장애인·비장애인 분리하지 않아 활동공간도 달라질 필요는 없어 저상버스 도입률 전국 28% 그쳐 대중적 교통수단으로 확대하고 장애인 콜택시로 이동권 보완을하지만 그는 장애인 인권운동에 머물지 않는다그의 활동 공간인 ‘인권연대 숨’은 장애인 인권단체가 아니라 인권교육, 역사 현장 평화기행 사업, 회원 소모임 등을 작지만 알차게 진행하는, ‘아주 보통의’ 인권단체다장애인 인권뿐만이 아닌 보편적인 인간의 권리, 즉 인권운동을 하고 있다그는 “인권은 모든 인간이 가진 보편적인 권리이고 장애인, 비장애인을 분리하지는 않는다”면서 “개인의 특성 때문에 활동 공간이 달라질 필요는 없다고 본다”고 말했다이씨는 “인권에 대해 자연스럽게 배워 왔고, 내가 이미 인권을 침해받는 차별적 경험을 해왔음을 뒤늦게 자각한 것이 인권운동의 계기라면 계기일 것”이라고 말했다전장연의 20년에 걸친 활동이 있어서 장애인들의 일상이 많이 바뀔 수 있음을 안다”면서 “하지만 여전히 부족한 점이 있고 그것은 인권의 보편성에 대한 확장”이라고 말했다장애인은 장애인 단체에서 일해야 하는 것 아니냐는 인식 자체가 편견이자 차별적 시각이 될 수 있음을 깨닫게 해 준다”●월 530시간 활동지원사 도움받아이씨는 “저상버스 인프라가 여전히 부족한 상황에서 실제로 이용하기에 불편함이 컸던 만큼 본격적인 인권운동을 하기 전까지는 저상버스를 확대하기보다는 장애인 콜택시 운영을 늘리는 것이 더 필요하지 않았나 생각했다”고 말했다하지만 그는 “저상버스는 장애인만이 아닌 유아차를 미는 부모, 거동이 불편한 어르신, 어린아이 등 비장애인을 포함한 모두의 이동권과 관련 있는 교통수단이라는 점을 깨닫게 됐다”며 인권의 보편성에 대한 시각이 넓어졌다고 덧붙였다그는 “저상버스를 중심으로 보편적 이동권을 높이고 장애인 콜택시로 보완할 수 있도록 하는 방법이 필요하지 않을까 생각한다”고 덧붙였다이씨는 “대학에 가기 전까지는 어떤 것도 스스로 선택한 삶이 없이 엄격한 규칙 속에서 종교적 생활을 해야 했다”면서 “비록 원했던 역사학과가 아닌 신학과를 가야 했지만 대학에서 선후배들과 어울리며 비로소 자유로움을 느꼈다”고 말했다‘저상버스 타고 쏘댕기기’를 비롯해 인권운동 분야에서 자신의 책임성을 더욱 높이는 활동을 하고 싶다는 희망과 함께 “같이 노력하는 사람들과 더불어 우리 사회에서 바꿀 수 있는 것은 바꾸기 위해 최대한 노력하고 싶다”고 강조했다"
